"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 15:13:55 IST 2024","Wed May 08 15:13:57 IST 2024","1636","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed May 08 15:14:14 IST 2024","Wed May 08 15:14:14 IST 2024","208","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Wed May 08 15:14:28 IST 2024","Wed May 08 15:14:28 IST 2024","321","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Wed May 08 15:14:55 IST 2024","Wed May 08 15:15:00 IST 2024","4690","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed May 08 15:13:25 IST 2024","Wed May 08 15:13:26 IST 2024","231","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Wed May 08 15:12:55 IST 2024","Wed May 08 15:12:56 IST 2024","948","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed May 08 15:13:38 IST 2024","Wed May 08 15:13:38 IST 2024","335","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Wed May 08 15:13:32 IST 2024","Wed May 08 15:13:32 IST 2024","242","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Wed May 08 15:14:34 IST 2024","Wed May 08 15:14:34 IST 2024","227","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Wed May 08 15:13:38 IST 2024","Wed May 08 15:13:39 IST 2024","536","Files","","","","","cy.readFile() - read file contents",""
"passed","Wed May 08 15:14:35 IST 2024","Wed May 08 15:14:35 IST 2024","207","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Wed May 08 15:12:56 IST 2024","Wed May 08 15:12:57 IST 2024","1030","Actions","","","","",".select() - select an option in a <select> element",""
"passed","Wed May 08 15:14:43 IST 2024","Wed May 08 15:14:43 IST 2024","194","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed May 08 15:13:20 IST 2024","Wed May 08 15:13:20 IST 2024","201","Connectors",".then()","","","","yields the original subject without return",""
"passed","Wed May 08 15:13:11 IST 2024","Wed May 08 15:13:11 IST 2024","234","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed May 08 15:14:33 IST 2024","Wed May 08 15:14:34 IST 2024","217","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Wed May 08 15:14:27 IST 2024","Wed May 08 15:14:28 IST 2024","318","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Wed May 08 15:13:33 IST 2024","Wed May 08 15:13:33 IST 2024","202","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Wed May 08 15:12:35 IST 2024","Wed May 08 15:12:36 IST 2024","383","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Wed May 08 15:13:49 IST 2024","Wed May 08 15:13:49 IST 2024","396","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Wed May 08 15:14:19 IST 2024","Wed May 08 15:14:22 IST 2024","2535","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Wed May 08 15:14:36 IST 2024","Wed May 08 15:14:36 IST 2024","204","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Wed May 08 15:14:22 IST 2024","Wed May 08 15:14:22 IST 2024","302","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Wed May 08 15:13:18 IST 2024","Wed May 08 15:13:19 IST 2024","781","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Wed May 08 15:13:20 IST 2024","Wed May 08 15:13:21 IST 2024","199","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Wed May 08 15:14:19 IST 2024","Wed May 08 15:14:19 IST 2024","354","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
